first_name,second_name,element_type,total_points,minutes,goals_scored,assists,goals_conceded,bonus,clean_sheets,red_cards,yellow_cards,now_cost,value_added,value_added_per_90,value_added_per_million,vapm_per_90
Leroy,Sané,3,156,1857,10,12,14,13,9,0,1,9.5,107,5.186,21.4,1.037
Riyad,Mahrez,3,102,1331,7,4,9,14,4,0,0,8.5,65,4.395,16.25,1.099
Bernardo Mota,Veiga de Carvalho e Silva,3,154,2849,7,8,22,17,15,0,3,8.0,88,2.78,25.143,0.794
David,Silva,3,143,2399,6,8,14,14,16,0,2,7.5,82,3.076,27.333,1.025
Phil,Foden,3,25,328,1,0,0,3,2,0,0,5.5,10,2.744,10.0,2.744
Fernando,Luiz Rosa,3,79,2375,1,3,15,4,12,0,5,5.5,25,0.947,25.0,0.947
Ilkay,Gündogan,3,113,2129,6,3,15,10,13,0,3,5.5,59,2.494,59.0,2.494
Aaron,Wan-Bissaka,2,120,3134,0,3,47,18,12,1,4,5.5,68,1.953,45.333,1.302
Chris,Smalling,2,56,2127,1,0,36,3,4,0,1,5.5,24,1.016,16.0,0.677
Ashley,Young,2,73,2568,2,3,44,4,4,1,8,5.5,30,1.051,20.0,0.701
Victor,Lindelöf,2,85,2600,1,1,40,9,6,0,1,5.5,41,1.419,27.333,0.946
Luke,Shaw,2,91,2591,1,5,39,11,6,0,11,5.5,45,1.563,30.0,1.042
Marcos,Rojo,2,2,209,0,0,5,0,0,0,2,5.0,-2,-0.861,-2.0,-0.861
Eric,Bailly,2,16,636,0,0,13,0,1,1,0,5.0,1,0.142,1.0,0.142
José Diogo,Dalot Teixeira,2,27,1009,0,2,18,0,1,0,3,5.0,7,0.624,7.0,0.624
Matteo,Darmian,2,14,443,0,0,8,2,1,0,0,5.0,6,1.219,6.0,1.219
Phil,Jones,2,43,1261,0,1,17,3,3,0,1,5.0,17,1.213,17.0,1.213
Romelu,Lukaku,4,115,2126,12,1,38,14,4,0,4,8.5,61,2.582,15.25,0.646
Marcus,Rashford,4,128,2331,10,7,35,14,6,1,3,8.5,69,2.664,17.25,0.666
Mason,Greenwood,4,4,115,0,0,2,0,0,0,0,4.5,0,0.0,0,0.0
David,de Gea,1,120,3420,0,0,54,7,7,0,1,5.5,34,0.895,22.667,0.597
Paul,Pogba,3,179,3007,13,10,43,19,8,0,6,8.5,116,3.472,29.0,0.868
Anthony,Martial,3,122,1613,10,4,25,13,5,0,2,7.5,78,4.352,26.0,1.451
Alexis,Sánchez,3,47,869,1,5,10,1,2,0,3,7.0,20,2.071,8.0,0.829
Jesse,Lingard,3,78,1657,4,3,26,5,3,0,3,6.5,34,1.847,17.0,0.923
Juan,Mata,3,70,1284,3,4,15,7,5,0,3,6.5,36,2.523,18.0,1.262
Frederico,Rodrigues de Paula Santos,3,40,1039,1,2,19,3,1,0,2,5.5,13,1.126,13.0,1.126
Angel,Gomes,3,2,25,0,0,1,0,0,0,0,5.0,0,0.0,0.0,0.0
Andreas,Pereira,3,27,590,1,1,13,2,1,0,5,5.0,6,0.915,12.0,1.831
Nemanja,Matic,3,59,2437,1,0,37,2,6,1,6,5.0,4,0.148,8.0,0.295
Scott,McTominay,3,38,862,2,0,18,4,1,0,1,5.0,14,1.462,28.0,2.923
Tahith,Chong,3,2,37,0,0,1,0,0,0,0,4.5,0,0.0,0,0.0
James,Garner,3,1,1,0,0,0,0,0,0,0,4.5,0,0.0,0,0.0
Matt,Ritchie,2,110,2927,2,8,40,7,10,0,9,5.5,74,2.275,49.333,1.517
Fabian,Schär,2,93,2000,4,1,23,9,7,0,12,5.0,52,2.34,52.0,2.34
DeAndre,Yedlin,2,63,2472,1,2,41,1,5,1,6,4.5,24,0.874,48.0,1.748
Federico,Fernández,2,47,1482,0,2,24,5,3,0,2,4.5,21,1.275,42.0,2.551
Paul,Dummett,2,67,1986,0,0,27,3,7,0,1,4.5,30,1.36,60.0,2.719
Javier,Manquillo,2,53,1098,0,3,16,5,4,0,2,4.5,28,2.295,56.0,4.59
Florian,Lejeune,2,35,1054,0,0,13,0,4,0,0,4.5,16,1.366,32.0,2.732
Jamaal,Lascelles,2,95,2745,0,1,36,8,10,0,4,4.5,47,1.541,94.0,3.082
Ciaran,Clark,2,42,857,3,0,15,4,2,0,1,4.5,29,3.046,58.0,6.091
Yoshinori,Muto,4,24,514,1,0,10,0,1,0,1,5.5,3,0.525,3.0,0.525
Jose Luis,Mato Sanmartín,4,30,586,2,0,15,3,1,0,1,5.0,10,1.536,20.0,3.072
Martin,Dubravka,1,131,3420,0,0,48,10,11,0,1,5.0,53,1.395,53.0,1.395
Miguel,Almirón,3,28,758,0,2,11,0,3,0,0,6.0,9,1.069,6.0,0.712
Christian,Atsu,3,55,1481,1,1,18,0,6,0,2,5.5,12,0.729,12.0,0.729
Sung-yueng,Ki,3,38,1298,0,1,20,1,4,0,2,5.0,6,0.416,12.0,0.832
Jonjo,Shelvey,3,39,943,1,1,13,2,5,0,1,5.0,14,1.336,28.0,2.672
Sean,Longstaff,3,26,686,1,1,9,1,3,0,2,5.0,10,1.312,20.0,2.624
Isaac,Hayden,3,69,1857,1,4,25,5,7,1,3,4.5,23,1.115,0,0.0
Jacob,Murphy,3,16,296,0,1,8,0,1,0,0,5.0,4,1.216,8.0,2.432
Lys,Mousset,4,28,350,1,0,15,0,0,0,1,5.0,3,0.771,6.0,1.543
Phil,Jagielka,2,22,329,1,0,4,3,2,1,0,4.5,14,3.83,28.0,7.66
Jannik,Vestergaard,2,50,2027,0,0,31,0,4,0,2,5.0,14,0.622,14.0,0.622
Ryan,Bertrand,2,56,2160,1,0,42,1,6,0,8,5.0,23,0.958,23.0,0.958
