first_name,second_name,element_type,total_points,minutes,goals_scored,assists,goals_conceded,bonus,clean_sheets,red_cards,yellow_cards,now_cost,value_added,value_added_per_90,value_added_per_million,vapm_per_90
Andy,Carroll,4,1,8,0,0,0,0,0,0,0,5.4,0,0,0,0
Ben,Godfrey,2,6,540,0,0,14,0,0,0,0,4.5,0,0,0,0
Christoph,Zimmermann,2,1,35,0,0,1,0,0,0,0,4.5,0,0,0,0
Grant,Hanley,2,1,270,0,0,8,0,0,0,0,4,0,0,0,0
Dennis,Srbeny,4,2,10,0,0,0,0,0,0,0,5.3,0,0,0,0
Tim,Krul,1,12,540,0,0,14,0,0,0,0,4.5,0,0,0,0
Mario,Vrancic,3,2,15,0,0,1,0,0,0,0,6.2,0,0,0,0
Onel,Hernández,3,1,20,0,0,0,0,0,0,0,5.3,0,0,0,0
Marco,Stiepermann,3,11,458,0,0,13,0,1,0,1,5.4,0,0,0,0
Alexander,Tettey,3,4,105,0,0,4,0,0,0,0,4.5,0,0,0,0
Josip,Drmic,4,4,42,0,0,1,0,0,0,0,5.4,0,0,0,0
Patrick,Roberts,3,1,1,0,0,0,0,0,0,0,5.3,0,0,0,0
David,McGoldrick,4,8,320,0,0,3,0,1,0,0,5.5,0,0,0,0
Luke,Freeman,3,7,241,0,0,4,0,1,0,1,5.3,0,0,0,0
Phil,Jagielka,2,2,27,0,0,0,0,0,0,0,4.3,0,0,0,0
Ravel,Morrison,3,1,12,0,0,0,0,0,0,0,4.8,0,0,0,0
Ben,Osborn,3,2,13,0,0,0,0,0,0,0,4.8,0,0,0,0
Ryan,Bertrand,2,3,211,0,0,6,0,0,0,0,4.9,0,0,0,0
Yan,Valery,2,3,232,0,0,5,0,0,0,0,4.9,0,0,0,0
Jack,Stephens,2,1,72,0,0,2,0,0,0,0,4.4,0,0,0,0
Michael,Obafemi,4,1,24,0,0,2,0,0,0,0,5,0,0,0,0
Shane,Long,4,2,29,0,0,0,0,0,0,0,4.8,0,0,0,0
Oriol,Romeu Vidal,3,12,513,0,0,8,0,2,0,2,4.5,0,0,0,0
Ben,Davies,2,2,16,0,0,0,0,0,0,0,5.5,0,0,0,0
Kyle,Walker-Peters,2,5,241,0,0,4,0,0,0,0,4.9,0,0,0,0
Paulo,Gazzaniga,1,2,90,0,0,2,0,0,0,0,4.4,0,0,0,0
Bamidele,Alli,3,1,30,0,0,1,0,0,0,0,8.4,0,0,0,0
Oliver,Skipp,3,2,2,0,0,0,0,0,0,0,4.5,0,0,0,0
Giovani,Lo Celso,3,3,44,0,0,0,0,0,0,0,7.3,0,0,0,0
Georges-Kévin,Nkoudou,3,1,2,0,0,0,0,0,0,0,5,0,0,0,0
Christian,Kabasele,2,3,180,0,0,3,0,0,0,0,4.4,0,0,0,0
Adrian,Mariappa,2,-2,90,0,0,8,0,0,0,0,4.3,0,0,0,0
Daryl,Janmaat,2,3,102,0,0,1,0,0,0,0,4.4,0,0,0,0
Troy,Deeney,4,4,180,0,0,4,0,0,0,0,6.2,0,0,0,0
Isaac,Success Ajayi,4,2,34,0,0,1,0,0,0,0,4.9,0,0,0,0
Nathaniel,Chalobah,3,1,19,0,0,0,0,0,0,0,4.5,0,0,0,0
Domingos,Quina,3,1,4,0,0,0,0,0,0,0,4.5,0,0,0,0
Danny,Welbeck,4,2,39,0,0,0,0,0,0,0,5.9,0,0,0,0
Ismaïla,Sarr,3,3,83,0,0,2,0,0,0,0,6.4,0,0,0,0
Dimitri,Foulquier,2,-1,32,0,0,5,0,0,0,0,4,0,0,0,0
Pablo,Zabaleta,2,2,31,0,0,0,0,0,0,0,4.4,0,0,0,0
Jack,Wilshere,3,3,120,0,0,2,0,0,0,0,4.8,0,0,0,0
Carlos,Sánchez,3,3,14,0,0,0,0,0,0,0,4.5,0,0,0,0
Morgan,Gibbs-White,3,3,86,0,0,2,0,0,0,0,4.9,0,0,0,0
Jesús,Vallejo Lázaro,2,0,90,0,0,5,0,0,0,0,4.8,0,0,0,0
Abdoulaye,Doucouré,3,9,520,0,0,18,0,0,0,1,5.8,-1,-0.173,-0.172,-0.03
